item_no,condition,advTYPE,region1_text,region2_text,region3_text,region4_text,context_sentence,full_sentence,critical_token,source
120,EN_Word_order,frequency,The old man,chronically forgets,his house keys,on the kitchen table.,His memory is not what it used to be.,The old man chronically forgets his house keys on the kitchen table.,chronically,generated
120,FR_Word_order,frequency,The old man,forgets chronically,his house keys,on the kitchen table.,His memory is not what it used to be.,The old man forgets chronically his house keys on the kitchen table.,chronically,generated
121,EN_Word_order,frequency,Chris,successively defeated,three powerful bosses,in the final level.,Chris was playing a video game for hours.,Chris successively defeated three powerful bosses in the final level.,successively,generated
121,FR_Word_order,frequency,Chris,defeated successively,three powerful bosses,in the final level.,Chris was playing a video game for hours.,Chris defeated successively three powerful bosses in the final level.,successively,generated
122,EN_Word_order,frequency,My neighbor,serially starts,new garden projects,without finishing them.,His yard is full of ongoing projects.,My neighbor serially starts new garden projects without finishing them.,serially,generated
122,FR_Word_order,frequency,My neighbor,starts serially,new garden projects,without finishing them.,His yard is full of ongoing projects.,My neighbor starts serially new garden projects without finishing them.,serially,generated
123,EN_Word_order,manner,Jessica,warmly greeted,each new guest,at the front door.,The guests arrived at the party.,Jessica warmly greeted each new guest at the front door.,warmly,generated
123,FR_Word_order,manner,Jessica,greeted warmly,each new guest,at the front door.,The guests arrived at the party.,Jessica greeted warmly each new guest at the front door.,warmly,generated
124,EN_Word_order,manner,His cousin,tightly gripped,the steering wheel,during the storm.,The wind was blowing very hard outside.,His cousin tightly gripped the steering wheel during the storm.,tightly,generated
124,FR_Word_order,manner,His cousin,gripped tightly,the steering wheel,during the storm.,The wind was blowing very hard outside.,His cousin gripped tightly the steering wheel during the storm.,tightly,generated
125,EN_Word_order,manner,Kevin,loosely tied,the boat's rope,to the wooden dock.,The knot was meant to be temporary.,Kevin loosely tied the boat's rope to the wooden dock.,loosely,generated
125,FR_Word_order,manner,Kevin,tied loosely,the boat's rope,to the wooden dock.,The knot was meant to be temporary.,Kevin tied loosely the boat's rope to the wooden dock.,loosely,generated
126,EN_Word_order,manner,The journalist,correctly reported,the official's statement,in the evening news.,The facts in the report were very important.,The journalist correctly reported the official's statement in the evening news.,correctly,generated
126,FR_Word_order,manner,The journalist,reported correctly,the official's statement,in the evening news.,The facts in the report were very important.,The journalist reported correctly the official's statement in the evening news.,correctly,generated
127,EN_Word_order,manner,Laura,wrongly answered,the teacher's question,about the homework.,Laura was not paying attention in class.,Laura wrongly answered the teacher's question about the homework.,wrongly,generated
127,FR_Word_order,manner,Laura,answered wrongly,the teacher's question,about the homework.,Laura was not paying attention in class.,Laura answered wrongly the teacher's question about the homework.,wrongly,generated
128,EN_Word_order,manner,The mechanic,honestly explained,the full cost,to the worried customer.,The car repair was going to be expensive.,The mechanic honestly explained the full cost to the worried customer.,honestly,generated
128,FR_Word_order,manner,The mechanic,explained honestly,the full cost,to the worried customer.,The car repair was going to be expensive.,The mechanic explained honestly the full cost to the worried customer.,honestly,generated
129,EN_Word_order,manner,Brian,secretly packed,a small suitcase,for his trip.,Nobody knew about his plans for the weekend.,Brian secretly packed a small suitcase for his trip.,secretly,generated
129,FR_Word_order,manner,Brian,packed secretly,a small suitcase,for his trip.,Nobody knew about his plans for the weekend.,Brian packed secretly a small suitcase for his trip.,secretly,generated
130,EN_Word_order,manner,Her boss,openly discussed,the budget cuts,with the entire team.,The company was having some financial trouble.,Her boss openly discussed the budget cuts with the entire team.,openly,generated
130,FR_Word_order,manner,Her boss,discussed openly,the budget cuts,with the entire team.,The company was having some financial trouble.,Her boss discussed openly the budget cuts with the entire team.,openly,generated
131,EN_Word_order,manner,Rachel,vaguely described,the plot of the movie,to her friend.,She did not want to give away too much information.,Rachel vaguely described the plot of the movie to her friend.,vaguely,generated
131,FR_Word_order,manner,Rachel,described vaguely,the plot of the movie,to her friend.,She did not want to give away too much information.,Rachel described vaguely the plot of the movie to her friend.,vaguely,generated
132,EN_Word_order,manner,The artist,poorly painted,the woman's portrait,in the dim light.,The lighting in the studio was not very good.,The artist poorly painted the woman's portrait in the dim light.,poorly,generated
132,FR_Word_order,manner,The artist,painted poorly,the woman's portrait,in the dim light.,The lighting in the studio was not very good.,The artist painted poorly the woman's portrait in the dim light.,poorly,generated
133,EN_Word_order,frequency,The baker,again kneaded,the dough,for a second time.,The first loaf did not rise properly.,The baker again kneaded the dough for a second time.,again,generated
133,FR_Word_order,frequency,The baker,kneaded again,the dough,for a second time.,The first loaf did not rise properly.,The baker kneaded again the dough for a second time.,again,generated
134,EN_Word_order,manner,Eleanor,kindly offered,some water,to the new mailman.,It was a very hot summer day.,Eleanor kindly offered some water to the new mailman.,kindly,generated
134,FR_Word_order,manner,Eleanor,offered kindly,some water,to the new mailman.,It was a very hot summer day.,Eleanor offered kindly some water to the new mailman.,kindly,generated
135,EN_Word_order,frequency,My cousin,formerly owned,this exact model,before the big accident.,We were shopping for a new car.,My cousin formerly owned this exact model before the big accident.,formerly,generated
135,FR_Word_order,frequency,My cousin,owned formerly,this exact model,before the big accident.,We were shopping for a new car.,My cousin owned formerly this exact model before the big accident.,formerly,generated
136,EN_Word_order,manner,Dr. Smith,politely declined,the invitation,due to a scheduling conflict.,The department was having a large party.,Dr. Smith politely declined the invitation due to a scheduling conflict.,politely,generated
136,FR_Word_order,manner,Dr. Smith,declined politely,the invitation,due to a scheduling conflict.,The department was having a large party.,Dr. Smith declined politely the invitation due to a scheduling conflict.,politely,generated
137,EN_Word_order,frequency,The architect,twice checked,the blueprints,before the final submission.,There was no room for error on this project.,The architect twice checked the blueprints before the final submission.,twice,generated
137,FR_Word_order,frequency,The architect,checked twice,the blueprints,before the final submission.,There was no room for error on this project.,The architect checked twice the blueprints before the final submission.,twice,generated
138,EN_Word_order,manner,Samuel,rudely interrupted,the speaker,during the presentation.,Everyone was listening to the important announcement.,Samuel rudely interrupted the speaker during the presentation.,rudely,generated
138,FR_Word_order,manner,Samuel,interrupted rudely,the speaker,during the presentation.,Everyone was listening to the important announcement.,Samuel interrupted rudely the speaker during the presentation.,rudely,generated
139,EN_Word_order,frequency,That artist,newly acquired,a rare pigment,for his new collection.,The painter was searching for a specific color.,That artist newly acquired a rare pigment for his new collection.,newly,generated
139,FR_Word_order,frequency,That artist,acquired newly,a rare pigment,for his new collection.,The painter was searching for a specific color.,That artist acquired newly a rare pigment for his new collection.,newly,generated
140,EN_Word_order,manner,The professor,beautifully explained,the complex theory,to all the students.,The lecture topic was very difficult.,The professor beautifully explained the complex theory to all the students.,beautifully,generated
140,FR_Word_order,manner,The professor,explained beautifully,the complex theory,to all the students.,The lecture topic was very difficult.,The professor explained beautifully the complex theory to all the students.,beautifully,generated
141,EN_Word_order,frequency,Clara,once visited,that museum,on a school trip.,She was looking at old photographs.,Clara once visited that museum on a school trip.,once,generated
141,FR_Word_order,frequency,Clara,visited once,that museum,on a school trip.,She was looking at old photographs.,Clara visited once that museum on a school trip.,once,generated
142,EN_Word_order,manner,The ballerina,elegantly executed,the difficult move,for the grand finale.,The audience watched in complete silence.,The ballerina elegantly executed the difficult move for the grand finale.,elegantly,generated
142,FR_Word_order,manner,The ballerina,executed elegantly,the difficult move,for the grand finale.,The audience watched in complete silence.,The ballerina executed elegantly the difficult move for the grand finale.,elegantly,generated
143,EN_Word_order,frequency,Mr. Harrison,subsequently sold,his company shares,at a significant profit.,The business had a very successful year.,Mr. Harrison subsequently sold his company shares at a significant profit.,subsequently,generated
143,FR_Word_order,frequency,Mr. Harrison,sold subsequently,his company shares,at a significant profit.,The business had a very successful year.,Mr. Harrison sold subsequently his company shares at a significant profit.,subsequently,generated
144,EN_Word_order,manner,The detective,fondly remembered,his first case,after many long years.,He was looking through an old photo album.,The detective fondly remembered his first case after many long years.,fondly,generated
144,FR_Word_order,manner,The detective,remembered fondly,his first case,after many long years.,He was looking through an old photo album.,The detective remembered fondly his first case after many long years.,fondly,generated
145,EN_Word_order,frequency,Amelia,afterward wrote,a thank-you note,for the lovely gift.,She had a wonderful birthday party.,Amelia afterward wrote a thank-you note for the lovely gift.,afterward,generated
145,FR_Word_order,frequency,Amelia,wrote afterward,a thank-you note,for the lovely gift.,She had a wonderful birthday party.,Amelia wrote afterward a thank-you note for the lovely gift.,afterward,generated
146,EN_Word_order,manner,His neighbor,stupidly left,the front door,unlocked all night.,There had been some recent burglaries.,His neighbor stupidly left the front door unlocked all night.,stupidly,generated
146,FR_Word_order,manner,His neighbor,left stupidly,the front door,unlocked all night.,There had been some recent burglaries.,His neighbor left stupidly the front door unlocked all night.,stupidly,generated
147,EN_Word_order,frequency,The pilot,thenceforth flew,only international routes,for the airline.,He received a major promotion.,The pilot thenceforth flew only international routes for the airline.,thenceforth,generated
147,FR_Word_order,frequency,The pilot,flew thenceforth,only international routes,for the airline.,He received a major promotion.,The pilot flew thenceforth only international routes for the airline.,thenceforth,generated
148,EN_Word_order,manner,Beatrice,sweetly sang,a lullaby,to the crying baby.,The nursery was full of noise.,Beatrice sweetly sang a lullaby to the crying baby.,sweetly,generated
148,FR_Word_order,manner,Beatrice,sang sweetly,a lullaby,to the crying baby.,The nursery was full of noise.,Beatrice sang sweetly a lullaby to the crying baby.,sweetly,generated
149,EN_Word_order,frequency,The mechanic,hereafter used,a new set of tools,for all repairs.,His old equipment was completely worn out.,The mechanic hereafter used a new set of tools for all repairs.,hereafter,generated
149,FR_Word_order,frequency,The mechanic,used hereafter,a new set of tools,for all repairs.,His old equipment was completely worn out.,The mechanic used hereafter a new set of tools for all repairs.,hereafter,generated
150,EN_Word_order,manner,George,generously donated,his old books,to the local library.,He was moving to a smaller apartment.,George generously donated his old books to the local library.,generously,generated
150,FR_Word_order,manner,George,donated generously,his old books,to the local library.,He was moving to a smaller apartment.,George donated generously his old books to the local library.,generously,generated
151,EN_Word_order,frequency,The librarian,latterly acquired,several rare manuscripts,for the special collection.,The library received a large grant.,The librarian latterly acquired several rare manuscripts for the special collection.,latterly,generated
151,FR_Word_order,frequency,The librarian,acquired latterly,several rare manuscripts,for the special collection.,The library received a large grant.,The librarian acquired latterly several rare manuscripts for the special collection.,latterly,generated
152,EN_Word_order,manner,Her uncle,silently ate,his dinner,at the kitchen table.,He seemed to be thinking about something.,Her uncle silently ate his dinner at the kitchen table.,silently,generated
152,FR_Word_order,manner,Her uncle,ate silently,his dinner,at the kitchen table.,He seemed to be thinking about something.,Her uncle ate silently his dinner at the kitchen table.,silently,generated
153,EN_Word_order,frequency,Professor Plum,continually checks,his email,during the lecture.,The students needed his full attention.,Professor Plum continually checks his email during the lecture.,continually,generated
153,FR_Word_order,frequency,Professor Plum,checks continually,his email,during the lecture.,The students needed his full attention.,Professor Plum checks continually his email during the lecture.,continually,generated
154,EN_Word_order,frequency,The gardener,incessantly waters,the new roses,throughout the summer.,The weather has been very hot and dry.,The gardener incessantly waters the new roses throughout the summer.,incessantly,generated
154,FR_Word_order,frequency,The gardener,waters incessantly,the new roses,throughout the summer.,The weather has been very hot and dry.,The gardener waters incessantly the new roses throughout the summer.,incessantly,generated
155,EN_Word_order,frequency,Alice,endlessly rearranges,the furniture,in her living room.,She can never decide on the perfect layout.,Alice endlessly rearranges the furniture in her living room.,endlessly,generated
155,FR_Word_order,frequency,Alice,rearranges endlessly,the furniture,in her living room.,She can never decide on the perfect layout.,Alice rearranges endlessly the furniture in her living room.,endlessly,generated
156,EN_Word_order,frequency,My neighbor,eternally praises,his prize-winning dog,to everyone he meets.,The dog won a blue ribbon at the county fair.,My neighbor eternally praises his prize-winning dog to everyone he meets.,eternally,generated
156,FR_Word_order,frequency,My neighbor,praises eternally,his prize-winning dog,to everyone he meets.,The dog won a blue ribbon at the county fair.,My neighbor praises eternally his prize-winning dog to everyone he meets.,eternally,generated
157,EN_Word_order,frequency,The architect,persistently revised,the building plans,before the deadline.,The client had very specific demands.,The architect persistently revised the building plans before the deadline.,persistently,generated
157,FR_Word_order,frequency,The architect,revised persistently,the building plans,before the deadline.,The client had very specific demands.,The architect revised persistently the building plans before the deadline.,persistently,generated
158,EN_Word_order,frequency,Dr. Evans,steadily monitors,the patient's vital signs,on the screen.,The surgery was a delicate procedure.,Dr. Evans steadily monitors the patient's vital signs on the screen.,steadily,generated
158,FR_Word_order,frequency,Dr. Evans,monitors steadily,the patient's vital signs,on the screen.,The surgery was a delicate procedure.,Dr. Evans monitors steadily the patient's vital signs on the screen.,steadily,generated
159,EN_Word_order,frequency,The chef,unfailingly selects,the freshest ingredients,for his restaurant.,His establishment has a reputation for quality.,The chef unfailingly selects the freshest ingredients for his restaurant.,unfailingly,generated
159,FR_Word_order,frequency,The chef,selects unfailingly,the freshest ingredients,for his restaurant.,His establishment has a reputation for quality.,The chef selects unfailingly the freshest ingredients for his restaurant.,unfailingly,generated
160,EN_Word_order,frequency,Samuel,unremittingly practiced,the piano sonata,all last week.,The big recital was approaching quickly.,Samuel unremittingly practiced the piano sonata all last week.,unremittingly,generated
160,FR_Word_order,frequency,Samuel,practiced unremittingly,the piano sonata,all last week.,The big recital was approaching quickly.,Samuel practiced unremittingly the piano sonata all last week.,unremittingly,generated
161,EN_Word_order,frequency,The old sailor,relentlessly scanned,the distant horizon,for any sign of land.,The ship had been lost at sea for days.,The old sailor relentlessly scanned the distant horizon for any sign of land.,relentlessly,generated
161,FR_Word_order,frequency,The old sailor,scanned relentlessly,the distant horizon,for any sign of land.,The ship had been lost at sea for days.,The old sailor scanned relentlessly the distant horizon for any sign of land.,relentlessly,generated
162,EN_Word_order,frequency,The young artist,uninterruptedly painted,the enormous canvas,for twelve straight hours.,She was completely absorbed in her work.,The young artist uninterruptedly painted the enormous canvas for twelve straight hours.,uninterruptedly,generated
162,FR_Word_order,frequency,The young artist,painted uninterruptedly,the enormous canvas,for twelve straight hours.,She was completely absorbed in her work.,The young artist painted uninterruptedly the enormous canvas for twelve straight hours.,uninterruptedly,generated
163,EN_Word_order,manner,Ms. Rodriguez,rapidly sorted,the mail,into different piles.,She needed to finish her tasks before leaving.,Ms. Rodriguez rapidly sorted the mail into different piles.,rapidly,generated
163,FR_Word_order,manner,Ms. Rodriguez,sorted rapidly,the mail,into different piles.,She needed to finish her tasks before leaving.,Ms. Rodriguez sorted rapidly the mail into different piles.,rapidly,generated
164,EN_Word_order,manner,The private detective,swiftly gathered,the crucial evidence,from the crime scene.,The police were about to arrive.,The private detective swiftly gathered the crucial evidence from the crime scene.,swiftly,generated
164,FR_Word_order,manner,The private detective,gathered swiftly,the crucial evidence,from the crime scene.,The police were about to arrive.,The private detective gathered swiftly the crucial evidence from the crime scene.,swiftly,generated
165,EN_Word_order,manner,That comedian,leisurely read,the morning paper,at the coffee shop.,He had no shows scheduled for the day.,That comedian leisurely read the morning paper at the coffee shop.,leisurely,generated
165,FR_Word_order,manner,That comedian,read leisurely,the morning paper,at the coffee shop.,He had no shows scheduled for the day.,That comedian read leisurely the morning paper at the coffee shop.,leisurely,generated
166,EN_Word_order,manner,A famous author,peacefully signed,the stack of books,for her fans.,The book signing event was very well organized.,A famous author peacefully signed the stack of books for her fans.,peacefully,generated
166,FR_Word_order,manner,A famous author,signed peacefully,the stack of books,for her fans.,The book signing event was very well organized.,A famous author signed peacefully the stack of books for her fans.,peacefully,generated
167,EN_Word_order,manner,The mechanic,expertly repaired,the car's engine,within an hour.,He had worked on this model many times before.,The mechanic expertly repaired the car's engine within an hour.,expertly,generated
167,FR_Word_order,manner,The mechanic,repaired expertly,the car's engine,within an hour.,He had worked on this model many times before.,The mechanic repaired expertly the car's engine within an hour.,expertly,generated
168,EN_Word_order,manner,Leo,abruptly closed,his laptop,during the presentation.,He noticed a critical error in his slides.,Leo abruptly closed his laptop during the presentation.,abruptly,generated
168,FR_Word_order,manner,Leo,closed abruptly,his laptop,during the presentation.,He noticed a critical error in his slides.,Leo closed abruptly his laptop during the presentation.,abruptly,generated
169,EN_Word_order,manner,The pharmacist,anxiously checked,the prescription,for any mistakes.,The doctor's handwriting was difficult to read.,The pharmacist anxiously checked the prescription for any mistakes.,anxiously,generated
169,FR_Word_order,manner,The pharmacist,checked anxiously,the prescription,for any mistakes.,The doctor's handwriting was difficult to read.,The pharmacist checked anxiously the prescription for any mistakes.,anxiously,generated
170,EN_Word_order,manner,Eleanor,cheerfully greeted,the new students,at the orientation.,She was the official campus welcome guide.,Eleanor cheerfully greeted the new students at the orientation.,cheerfully,generated
170,FR_Word_order,manner,Eleanor,greeted cheerfully,the new students,at the orientation.,She was the official campus welcome guide.,Eleanor greeted cheerfully the new students at the orientation.,cheerfully,generated
171,EN_Word_order,manner,The tour guide,diligently researched,the city's history,before the tour.,He wanted to provide accurate information.,The tour guide diligently researched the city's history before the tour.,diligently,generated
171,FR_Word_order,manner,The tour guide,researched diligently,the city's history,before the tour.,He wanted to provide accurate information.,The tour guide researched diligently the city's history before the tour.,diligently,generated
172,EN_Word_order,manner,A diligent student,frantically searched,his backpack,for the missing homework.,The class was about to begin.,A diligent student frantically searched his backpack for the missing homework.,frantically,generated
172,FR_Word_order,manner,A diligent student,searched frantically,his backpack,for the missing homework.,The class was about to begin.,A diligent student searched frantically his backpack for the missing homework.,frantically,generated
173,EN_Word_order,frequency,The chef,commonly uses,fresh herbs,in his cooking.,Good ingredients are important for flavor.,The chef commonly uses fresh herbs in his cooking.,commonly,generated
173,FR_Word_order,frequency,The chef,uses commonly,fresh herbs,in his cooking.,Good ingredients are important for flavor.,The chef uses commonly fresh herbs in his cooking.,commonly,generated
174,EN_Word_order,manner,Arthur,boisterously greeted,his friends,at the pub.,The group had not seen each other for months.,Arthur boisterously greeted his friends at the pub.,boisterously,generated
174,FR_Word_order,manner,Arthur,greeted boisterously,his friends,at the pub.,The group had not seen each other for months.,Arthur greeted boisterously his friends at the pub.,boisterously,generated
175,EN_Word_order,frequency,My grandfather,religiously reads,the newspaper,before breakfast.,He likes to stay informed about world events.,My grandfather religiously reads the newspaper before breakfast.,religiously,generated
175,FR_Word_order,frequency,My grandfather,reads religiously,the newspaper,before breakfast.,He likes to stay informed about world events.,My grandfather reads religiously the newspaper before breakfast.,religiously,generated
176,EN_Word_order,manner,The lioness,voraciously devoured,her meal,on the savanna.,A successful hunt meant food for the whole pride.,The lioness voraciously devoured her meal on the savanna.,voraciously,generated
176,FR_Word_order,manner,The lioness,devoured voraciously,her meal,on the savanna.,A successful hunt meant food for the whole pride.,The lioness devoured voraciously her meal on the savanna.,voraciously,generated
177,EN_Word_order,frequency,Eleanor,ritually checks,her email,every morning.,She is expecting an important message.,Eleanor ritually checks her email every morning.,ritually,generated
177,FR_Word_order,frequency,Eleanor,checks ritually,her email,every morning.,She is expecting an important message.,Eleanor checks ritually her email every morning.,ritually,generated
178,EN_Word_order,manner,The watchmaker,meticulously assembled,the tiny gears,under a lamp.,The complex mechanism required immense concentration.,The watchmaker meticulously assembled the tiny gears under a lamp.,meticulously,generated
178,FR_Word_order,manner,The watchmaker,assembled meticulously,the tiny gears,under a lamp.,The complex mechanism required immense concentration.,The watchmaker assembled meticulously the tiny gears under a lamp.,meticulously,generated
179,EN_Word_order,frequency,Professor Plum,predictably wore,a purple tie,to the conference.,Everyone knew about his favorite color.,Professor Plum predictably wore a purple tie to the conference.,predictably,generated
179,FR_Word_order,frequency,Professor Plum,wore predictably,a purple tie,to the conference.,Everyone knew about his favorite color.,Professor Plum wore predictably a purple tie to the conference.,predictably,generated
180,EN_Word_order,manner,The young prince,foolishly spent,his entire allowance,on candy.,He had no money left for the rest of the week.,The young prince foolishly spent his entire allowance on candy.,foolishly,generated
180,FR_Word_order,manner,The young prince,spent foolishly,his entire allowance,on candy.,He had no money left for the rest of the week.,The young prince spent foolishly his entire allowance on candy.,foolishly,generated
181,EN_Word_order,frequency,The marketing team,cyclically reviews,the budget,for the next quarter.,Financial planning is an ongoing process.,The marketing team cyclically reviews the budget for the next quarter.,cyclically,generated
181,FR_Word_order,frequency,The marketing team,reviews cyclically,the budget,for the next quarter.,Financial planning is an ongoing process.,The marketing team reviews cyclically the budget for the next quarter.,cyclically,generated
182,EN_Word_order,manner,Beatrice,lavishly praised,the chef's cooking,during the dinner party.,The food was exceptionally delicious.,Beatrice lavishly praised the chef's cooking during the dinner party.,lavishly,generated
182,FR_Word_order,manner,Beatrice,praised lavishly,the chef's cooking,during the dinner party.,The food was exceptionally delicious.,Beatrice praised lavishly the chef's cooking during the dinner party.,lavishly,generated
183,EN_Word_order,frequency,The detective,compulsively organized,the case files,on his desk.,He needed everything to be in perfect order.,The detective compulsively organized the case files on his desk.,compulsively,generated
183,FR_Word_order,frequency,The detective,organized compulsively,the case files,on his desk.,He needed everything to be in perfect order.,The detective organized compulsively the case files on his desk.,compulsively,generated
184,EN_Word_order,manner,The spy,covertly photographed,the secret documents,with a hidden camera.,His mission depended on not being discovered.,The spy covertly photographed the secret documents with a hidden camera.,covertly,generated
184,FR_Word_order,manner,The spy,photographed covertly,the secret documents,with a hidden camera.,His mission depended on not being discovered.,The spy photographed covertly the secret documents with a hidden camera.,covertly,generated
185,EN_Word_order,frequency,Penelope,obsessively polished,her silver trophies,before the competition.,She wanted everything to look perfect.,Penelope obsessively polished her silver trophies before the competition.,obsessively,generated
185,FR_Word_order,frequency,Penelope,polished obsessively,her silver trophies,before the competition.,She wanted everything to look perfect.,Penelope polished obsessively her silver trophies before the competition.,obsessively,generated
186,EN_Word_order,manner,The injured runner,agonizingly crossed,the finish line,in last place.,He was determined to complete the race.,The injured runner agonizingly crossed the finish line in last place.,agonizingly,generated
186,FR_Word_order,manner,The injured runner,crossed agonizingly,the finish line,in last place.,He was determined to complete the race.,The injured runner crossed agonizingly the finish line in last place.,agonizingly,generated
187,EN_Word_order,frequency,The botanist,methodically cataloged,the plant species,in the rainforest.,Her research required careful documentation.,The botanist methodically cataloged the plant species in the rainforest.,methodically,generated
187,FR_Word_order,frequency,The botanist,cataloged methodically,the plant species,in the rainforest.,Her research required careful documentation.,The botanist cataloged methodically the plant species in the rainforest.,methodically,generated
188,EN_Word_order,manner,The general,resolutely refused,the surrender terms,from the enemy.,He believed his army could still win the battle.,The general resolutely refused the surrender terms from the enemy.,resolutely,generated
188,FR_Word_order,manner,The general,refused resolutely,the surrender terms,from the enemy.,He believed his army could still win the battle.,The general refused resolutely the surrender terms from the enemy.,resolutely,generated
189,EN_Word_order,frequency,Leo,doggedly pursued,his research question,for many years.,He was determined to find an answer.,Leo doggedly pursued his research question for many years.,doggedly,generated
189,FR_Word_order,frequency,Leo,pursued doggedly,his research question,for many years.,He was determined to find an answer.,Leo pursued doggedly his research question for many years.,doggedly,generated
190,EN_Word_order,manner,The chess champion,smugly announced,his final move,to the crowd.,He knew he had secured his victory.,The chess champion smugly announced his final move to the crowd.,smugly,generated
190,FR_Word_order,manner,The chess champion,announced smugly,his final move,to the crowd.,He knew he had secured his victory.,The chess champion announced smugly his final move to the crowd.,smugly,generated
191,EN_Word_order,frequency,The old lighthouse,unvaryingly cast,its beam of light,across the water.,The structure has guided ships for a century.,The old lighthouse unvaryingly cast its beam of light across the water.,unvaryingly,generated
191,FR_Word_order,frequency,The old lighthouse,cast unvaryingly,its beam of light,across the water.,The structure has guided ships for a century.,The old lighthouse cast unvaryingly its beam of light across the water.,unvaryingly,generated
192,EN_Word_order,manner,The librarian,tidily arranged,the returned books,on the cart.,She liked to keep the circulation desk organized.,The librarian tidily arranged the returned books on the cart.,tidily,generated
192,FR_Word_order,manner,The librarian,arranged tidily,the returned books,on the cart.,She liked to keep the circulation desk organized.,The librarian arranged tidily the returned books on the cart.,tidily,generated
193,EN_Word_order,frequency,David,mostly eats,grilled chicken,for his dinner.,David has a specific diet he follows.,David mostly eats grilled chicken for his dinner.,mostly,generated
193,FR_Word_order,frequency,David,eats mostly,grilled chicken,for his dinner.,David has a specific diet he follows.,David eats mostly grilled chicken for his dinner.,mostly,generated
194,EN_Word_order,frequency,The old man,mainly reads,historical novels,in the evening.,The man has many books on his shelf.,The old man mainly reads historical novels in the evening.,mainly,generated
194,FR_Word_order,frequency,The old man,reads mainly,historical novels,in the evening.,The man has many books on his shelf.,The old man reads mainly historical novels in the evening.,mainly,generated
195,EN_Word_order,frequency,Susan,primarily studies,ancient manuscripts,for her research.,Susan is working on a major project.,Susan primarily studies ancient manuscripts for her research.,primarily,generated
195,FR_Word_order,frequency,Susan,studies primarily,ancient manuscripts,for her research.,Susan is working on a major project.,Susan studies primarily ancient manuscripts for her research.,primarily,generated
196,EN_Word_order,frequency,The tired student,chiefly reviewed,his lecture notes,before the exam.,The student has a lot of homework to do.,The tired student chiefly reviewed his lecture notes before the exam.,chiefly,generated
196,FR_Word_order,frequency,The tired student,reviewed chiefly,his lecture notes,before the exam.,The student has a lot of homework to do.,The tired student reviewed chiefly his lecture notes before the exam.,chiefly,generated
197,EN_Word_order,frequency,Michael,principally contacts,potential clients,by telephone.,Michael's job involves talking to many people.,Michael principally contacts potential clients by telephone.,principally,generated
197,FR_Word_order,frequency,Michael,contacts principally,potential clients,by telephone.,Michael's job involves talking to many people.,Michael contacts principally potential clients by telephone.,principally,generated
198,EN_Word_order,frequency,The chef,solely uses,local ingredients,in his dishes.,The new restaurant has a limited menu.,The chef solely uses local ingredients in his dishes.,solely,generated
198,FR_Word_order,frequency,The chef,uses solely,local ingredients,in his dishes.,The new restaurant has a limited menu.,The chef uses solely local ingredients in his dishes.,solely,generated
199,EN_Word_order,frequency,Laura,exclusively wears,designer brands,to formal events.,Laura has very specific tastes in clothing.,Laura exclusively wears designer brands to formal events.,exclusively,generated
199,FR_Word_order,frequency,Laura,wears exclusively,designer brands,to formal events.,Laura has very specific tastes in clothing.,Laura wears exclusively designer brands to formal events.,exclusively,generated
200,EN_Word_order,frequency,The musician,alternately played,the guitar and piano,during his session.,The musician was practicing for a concert.,The musician alternately played the guitar and piano during his session.,alternately,generated
200,FR_Word_order,frequency,The musician,played alternately,the guitar and piano,during his session.,The musician was practicing for a concert.,The musician played alternately the guitar and piano during his session.,alternately,generated
201,EN_Word_order,frequency,Paul,biweekly pays,his rent,to the landlord.,Paul has a regular payment schedule.,Paul biweekly pays his rent to the landlord.,biweekly,generated
201,FR_Word_order,frequency,Paul,pays biweekly,his rent,to the landlord.,Paul has a regular payment schedule.,Paul pays biweekly his rent to the landlord.,biweekly,generated
202,EN_Word_order,frequency,The teacher,nightly feeds,the hamster,in the classroom.,The teacher must check on the class pets.,The teacher nightly feeds the hamster in the classroom.,nightly,generated
202,FR_Word_order,frequency,The teacher,feeds nightly,the hamster,in the classroom.,The teacher must check on the class pets.,The teacher feeds nightly the hamster in the classroom.,nightly,generated
203,EN_Word_order,manner,Emily,lovingly touched,her grandmother's picture,with a soft cloth.,Emily was looking through old family photos.,Emily lovingly touched her grandmother's picture with a soft cloth.,lovingly,generated
203,FR_Word_order,manner,Emily,touched lovingly,her grandmother's picture,with a soft cloth.,Emily was looking through old family photos.,Emily touched lovingly her grandmother's picture with a soft cloth.,lovingly,generated
204,EN_Word_order,manner,The security guard,pointedly ignored,the man's question,near the entrance.,The guard noticed a person acting strangely.,The security guard pointedly ignored the man's question near the entrance.,pointedly,generated
204,FR_Word_order,manner,The security guard,ignored pointedly,the man's question,near the entrance.,The guard noticed a person acting strangely.,The security guard ignored pointedly the man's question near the entrance.,pointedly,generated
205,EN_Word_order,manner,Robert,wearily dropped,his heavy bag,on the floor.,Robert had just finished a long day of work.,Robert wearily dropped his heavy bag on the floor.,wearily,generated
205,FR_Word_order,manner,Robert,dropped wearily,his heavy bag,on the floor.,Robert had just finished a long day of work.,Robert dropped wearily his heavy bag on the floor.,wearily,generated
206,EN_Word_order,manner,The artist,knowingly exchanged,a secret glance,across the room.,The artist was communicating with a friend.,The artist knowingly exchanged a secret glance across the room.,knowingly,generated
